Text_ID	ID	Title	Date	Body	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Lang	Speaker_role	Speaker_MP	Speaker_minister	Speaker_party	Speaker_party_name	Party_status	Party_orientation	Speaker_ID	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u180	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	הליכוד	הליכוד	-	Right	person.476	ריבלין, ראובן	M	1939
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u181	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	העבודה	העבודה	-	Left	person.445	כבל, איתן	M	1959
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u182	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	הליכוד	הליכוד	-	Right	person.476	ריבלין, ראובן	M	1939
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u183	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	העבודה	העבודה	-	Left	person.445	כבל, איתן	M	1959
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u184	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u185	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	העבודה	העבודה	-	Left	person.445	כבל, איתן	M	1959
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u186	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u188	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u189	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	קדימה	קדימה	-	Centre	person.12965	זוארץ, אורית	F	1967
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u190	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u191	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Guest	-	-	-	-	-	-	-	-	-	-
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u192	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u193	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	קדימה	קדימה	-	Centre	person.12965	זוארץ, אורית	F	1967
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u194	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u195	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Regular	MP	notMinister	הליכוד	הליכוד	-	Right	person.12948	חוטובלי, ציפי	F	1978
ParlaMint-IL_2009-03-12-18ptm186016	ParlaMint-IL_2009-03-12-18ptm186016.u196	18_ptm_186016.doc: Plenary, 2009-03-12 00:00	2009-03-12	Unicameralism	הכנסת ה-18	-	ישיבה מס' 5	2009-03-12	-	Reference	Hebrew	Chairperson	MP	notMinister	הליכוד	הליכוד	-	Right	person.462	איתן, מיכאל	M	1944
