ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s18	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u2	s	Nederlands	Negatief	gemengd negatief	1.128	1	27	28	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	Frans	-	-	-	9	273	301	14	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s61	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-positief	2.506	1	40	46	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s62	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-positief	2.517	1	34	37	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s63	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-negatief	1.662	1	15	17	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s64	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-positief	2.904	1	21	22	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s65	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-positief	2.964	1	16	18	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s66	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-negatief	2.442	1	25	28	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s67	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-positief	3.289	1	36	42	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s68	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Neutraal	neutraal-positief	3.153	1	45	48	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s69	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u6	s	Nederlands	Positief	positief	4.905	1	41	43	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x	u	Frans	-	-	-	4	76	86	3	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s71	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Nederlands	Neutraal	neutraal-positief	3.436	1	9	11	1	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s72	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Nederlands	Neutraal	neutraal-negatief	1.898	1	23	25	2	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s73	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Nederlands	Positief	gemend-positief	3.854	1	24	27	0	
ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.s74	ParlaMint-BE_2022-07-13-voorlopig-55-commissie-ic862x.u7	s	Nederlands	Positief	positief	4.832	1	20	23	0	
