ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	HR	HSLS	3104	HSLS	2019	5.3	7.0	2.5	2.6	7.9	-	0.3	2.2	3.3	-	81410	5.2	-	-	-	7.7	0	7.1	2016	3.0	6.7	-	4.0	-	-	5	-	2.3	5.2	6.2	1.5	-	-	-	-	-	4.7	-	6.4	-	6.5	-	6.2	-	1	24	3	3.5	4.2	2.8	5.5	-	0.0	2.2	5.2	3.2	-	-	8.2	-	-	-	1.9	2.9	4.8	3.9	3	3.1	5.2	6.7	-	3.5	-	2.8	1.2	0.7	-	2.4	7.1	-	2.4	-	-	-	0.6	2020.1
1999-2019	HR	HSP	3109	HSP	2014	9.2	4.7	-	-	4.9	-	-	6.7	8.7	-	81713	6	-	-	-	4.6	0	4.2	2011	-	5.6	1.7	8.9	-	-	-	2.9	-	1.9	5.6	1.8	-	-	-	2.7	-	3	-	3.3	-	2.9	-	5	2.8	1	9	2	9.4	-	-	7.9	-	0.0	-	8.7	-	-	4.4	-	12	36	1	-	-	9.2	9.6	-	-	-	4.2	-	6.8	-	9.1	-	0	-	9.2	5.8	-	7.4	-	-	-	3	2020.1
1999-2019	HR	HSP_AS	3113	HSP-AS	2014	9.0	4.8	-	-	5.1	-	-	7.8	8.7	-	81713	7	-	-	-	5.4	0	4.9	2011	-	5.6	6.9	8.8	-	-	-	2.5	-	2.2	5.6	4	-	-	-	4.4	-	3.6	-	3.6	-	3.6	-	7	3	1	9	2	9.2	-	-	7.8	-	0.0	-	8.7	-	-	4.4	-	12	38	7	-	-	9	9.3	-	-	-	4	-	6.8	-	8.8	-	0.7	-	9.2	6.2	-	7	-	-	-	0.6	2020.1
1999-2019	HR	HSS	3103	HSS	2014	7.1	3.9	-	-	6.4	-	-	3.9	7.1	-	81810	4.6	-	-	-	4.1	0	3.6	2011	-	4.4	6.9	7.4	-	-	-	1.7	-	3.4	6	1.7	-	-	-	4.5	-	5.2	-	4.2	-	5.0	-	6.2	3.8	1	9	11	8.8	-	-	7	-	0.0	-	8	-	-	4.4	-	18	15	44	-	-	8.4	8.2	-	-	-	4	-	4.6	-	9.3	-	0.7	-	8.9	5.1	-	9.4	-	-	-	0.6	2020.1
1999-2019	HR	HSS	3103	HSS	2019	4.7	3.5	4.5	4	6.1	-	0.7	3.2	4.3	-	81810	5.5	-	-	-	3.8	0	3.7	2016	5.3	3.7	-	3.9	-	-	4.5	-	2.4	4.7	6.5	2.5	-	-	-	-	-	4.4	-	4.5	-	6.4	-	6.3	-	1	24	11	4.7	4.8	6.1	6.5	-	0.0	3.1	5.5	3.3	-	-	8.5	-	-	-	2.8	2.4	5.3	4.4	3.1	7.4	6.1	3.4	-	3.7	-	4.1	1.1	3.4	-	4.0	4.2	-	7.9	-	-	-	3.0	2020.1
-	HR	HSS i Demokrati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	HSU	3108	HSU	2019	4.4	2.8	4.3	1.1	6.1	-	0.2	1.5	5.2	-	-	3.5	-	-	-	2.8	0	2.5	2016	1.7	5.3	-	4.2	-	-	4.1	-	2.9	3.8	6.1	1	-	-	-	-	-	4.3	-	4.5	-	5.8	-	3.4	-	1	24	9	4.9	4.7	2.8	2.6	-	0.0	1.9	5.3	2.3	-	-	8.6	-	-	-	2.1	1.2	4.7	4.6	3.7	6.7	7.5	2.3	-	5.1	-	3.6	0.7	0.7	-	4.5	2.4	-	4.6	-	-	-	0.6	2020.1
-	HR	HSU, SNAGA, NZ i NP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	ID	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	IDS	3106	IDS	2014	3.3	5.3	-	-	6.8	-	-	2.1	2.2	-	81953	4.9	-	-	-	5.9	0	5.2	2011	-	5.6	7.5	1.2	-	-	-	1.1	-	4.8	6.9	0.7	-	-	-	6	-	6.1	-	6.4	-	6.8	-	8.7	5.2	1	9	8	1.9	-	-	7	-	1.0	-	3	-	-	4.2	-	4	8	11	-	-	2.2	1.1	-	-	-	4.9	-	2	-	2.1	-	2	-	1.7	5.6	-	3.7	-	-	-	1.5	2020.1
1999-2019	HR	IDS	3106	IDS	2019	3.2	5.3	2.8	2.2	6.9	-	0.9	1.2	2.5	-	81953	3.8	-	-	-	6.0	0	5	2016	4.8	4.6	5.2	1.0	-	-	5.4	-	0.8	5.4	6.9	0.6	-	-	-	-	-	5.9	-	6.3	-	6.9	-	8.1	-	1	24	8	1.3	2.5	1	7.6	-	0.0	1.4	3.7	3.3	-	-	8.4	-	-	-	1.1	4	2	1.2	2.8	4.9	5.7	4.5	-	0.6	-	1.0	0.9	2	-	1.1	5.0	-	4.0	-	-	-	2.2	2020.1
-	HR	IDS, PGS, RI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	MDS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	Most	3115	Most	2019	7.8	5.8	6.2	3	6.3	-	3.0	8.4	7.5	-	-	7.6	-	-	-	4.7	0	4.7	2016	3.9	5.4	4.7	7.8	-	-	2.1	-	4.4	2.5	5.7	3.9	-	-	-	-	-	2.5	-	3.5	-	3.8	-	5.6	-	1	24	2	8.5	6	2.9	7.3	-	0.0	1.9	8.7	6.7	-	-	8.3	-	-	-	2.2	4.6	8.8	8.7	7.2	7.6	5.9	4.4	-	3.1	-	8.5	1.8	8.8	-	8.4	5.5	-	6.9	-	-	-	9.4	2020.1
-	HR	NAPRIJED_HRVATSKA	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	NLM	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	NLSP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	NOVI_VAL	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	Nezavisni	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	ORAH	3114	ORaH	2014	2.4	3.0	-	-	6.5	-	-	4.4	1.3	-	-	7.1	-	-	-	3	0	2.4	2011	-	1.1	9.4	1.2	-	-	-	1.2	-	4	6.4	1	-	-	-	6.2	-	4.4	-	4.8	-	6.1	-	8.1	5.8	1	9	7	1	-	-	7.9	-	0.0	-	1.8	-	-	7	-	6	16	26	-	-	1	0.8	-	-	-	3.1	-	2.6	-	1.1	-	-	-	0.8	4.8	-	3.1	-	-	-	-	2020.1
-	HR	PAMETNO	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	PGS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	PH	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	REFORMISTI	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	SBHS	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HR	SDAH	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HR	SDP	3102	SDP	2014	3.6	4.8	-	-	7.4	-	-	1.8	3	-	81223	6.3	-	-	-	5.7	0	4.3	2011	-	5.6	15	2.2	-	-	-	1	-	5	6.9	1.2	-	-	-	6.2	-	6.2	-	6.2	-	6.6	-	8.8	5.4	1	9	5	2.2	-	-	7.4	-	1.0	-	3.7	-	-	3.4	-	13	8	14	-	-	3.2	2.2	-	-	-	4.2	-	4.6	-	2.1	-	40.4	-	2	5	-	2.3	-	-	-	31.3	2020.1
1999-2019	HR	SDP	3102	SDP	2019	3.4	3.8	4.2	4	7.4	-	0.9	1.5	3.7	-	81223	6.1	-	-	-	3.7	0	3.3	2016	4.4	5.1	18.7	2.5	-	-	4.9	-	1.2	5.1	6.6	1.6	-	-	-	-	-	5.5	-	5.9	-	6.6	-	7.8	-	1	24	5	2.3	3	1.8	8.0	-	0.0	2.6	4.5	4.6	-	-	7.8	-	-	-	2.5	3.8	4	2.7	2.4	5.5	6.8	3.5	-	5.0	-	1.6	1.8	26.5	-	1.7	3.5	-	3.4	-	-	-	23.3	2020.1
