ID	Parent_ID	Element	Language	Senti_3	Senti_6	Senti_n	Sents	Words	Tokens	Names	
ParlaMint-PT_2024-02-07.seg21.s	ParlaMint-PT_2024-02-07.u2	s	English	Neutral	neutral negative	1.908	1	56	74	1	
ParlaMint-PT_2024-02-07.seg22.s	ParlaMint-PT_2024-02-07.u2	s	English	Positive	mixed positive	3.972	1	71	83	6	
ParlaMint-PT_2024-02-07.seg23.s	ParlaMint-PT_2024-02-07.u2	s	English	Neutral	neutral positive	2.989	1	70	81	5	
ParlaMint-PT_2024-02-07.seg24.s	ParlaMint-PT_2024-02-07.u2	s	English	Neutral	neutral positive	3.035	1	91	104	2	
ParlaMint-PT_2024-02-07.seg25.s	ParlaMint-PT_2024-02-07.u2	s	English	Negative	negative	0.090	1	32	38	0	
ParlaMint-PT_2024-02-07.seg26.s	ParlaMint-PT_2024-02-07.u2	s	English	Negative	mixed negative	1.296	1	88	100	2	
ParlaMint-PT_2024-02-07.seg27.s	ParlaMint-PT_2024-02-07.u2	s	English	Negative	negative	0.255	1	54	69	3	
ParlaMint-PT_2024-02-07.seg28.s	ParlaMint-PT_2024-02-07.u2	s	English	Negative	negative	0.334	1	103	116	2	
ParlaMint-PT_2024-02-07.seg29.s	ParlaMint-PT_2024-02-07.u2	s	English	Negative	negative	0.102	1	33	36	0	
ParlaMint-PT_2024-02-07.seg30.s	ParlaMint-PT_2024-02-07.u2	s	English	Negative	negative	0.280	1	67	77	4	
ParlaMint-PT_2024-02-07.seg31.s	ParlaMint-PT_2024-02-07.u2	s	English	Negative	negative	0.248	1	36	41	4	
ParlaMint-PT_2024-02-07.u57	ParlaMint-PT-en_2024-02-07	u	English	-	-	-	6	353	394	9	
ParlaMint-PT_2024-02-07.seg175.s	ParlaMint-PT_2024-02-07.u57	s	English	Negative	negative	0.307	1	111	130	7	
ParlaMint-PT_2024-02-07.seg176.s	ParlaMint-PT_2024-02-07.u57	s	English	Negative	negative	0.360	1	45	52	0	
ParlaMint-PT_2024-02-07.seg177.s	ParlaMint-PT_2024-02-07.u57	s	English	Negative	negative	0.451	1	37	41	0	
ParlaMint-PT_2024-02-07.seg178.s	ParlaMint-PT_2024-02-07.u57	s	English	Negative	negative	0.223	1	39	41	0	
ParlaMint-PT_2024-02-07.seg179.s	ParlaMint-PT_2024-02-07.u57	s	English	Negative	mixed negative	0.944	1	57	60	0	
ParlaMint-PT_2024-02-07.seg180.s	ParlaMint-PT_2024-02-07.u57	s	English	Negative	mixed negative	1.461	1	64	70	2	
ParlaMint-PT_2024-02-07.u58	ParlaMint-PT-en_2024-02-07	u	English	-	-	-	1	43	48	2	
ParlaMint-PT_2024-02-07.seg181.s	ParlaMint-PT_2024-02-07.u58	s	English	Neutral	neutral positive	3.203	1	43	48	2	
