country	id	surname	forename	sex
RS	DimitrijevićMilan	Milan	Dimitrijević	M
RS	DimitrijevićMilić	Milić	Dimitrijević	M
RS	DimitrijevićNinoslav	Ninoslav	Dimitrijević	M
RS	DimitrijuAnita	Anita	Dimitriju	F
RS	DimitrovVladica	Vladica	Dimitrov	M
RS	DimićDragan	Dragan	Dimić	M
RS	DinićIvana	Ivana	Dinić	F
RS	DinićVoja	Voja	Dinić	M
RS	DinkićMlađan	Mlađan	Dinkić	M
RS	DinčićVuk	Vuk	Dinčić	M
RS	DizdarevićFaruk	Faruk	Dizdarević	M
RS	DišićMiloš	Miloš	Dišić	M
RS	DišićMiodrag	Miodrag	Dišić	M
RS	DmitrovićRadomir	Radomir	Dmitrović	M
RS	DobrićDobrosav	Dobrosav	Dobrić	M
RS	DobrosavljevićVladimir	Vladimir	Dobrosavljević	M
RS	DolovacZagorka	Zagorka	Dolovac	F
RS	DomazetDragan	Dragan	Domazet	M
RS	DotorovićDragan	Dragan	Dotorović	M
RS	DragašMirjana	Mirjana	Dragaš	F
RS	DraginSaša	Saša	Dragin	M
RS	DragišićStevo	Stevo	Dragišić	M
RS	DragišićZoran	Zoran	Dragišić	M
RS	DragojevićHelijana	Helijana	Dragojević	F
RS	DragojevićSrđan	Srđan	Dragojević	M
RS	DragosavljevićZlatko	Zlatko	Dragosavljević	M
RS	DragutinovićDiana	Diana	Dragutinović	F
RS	DrakulovićBorivoje	Borivoje	Drakulović	M
RS	DramlićMiroslav	Miroslav	Dramlić	M
RS	DrecunMilovan	Milovan	Drecun	M
RS	DrinjakovićDušan	Dušan	Drinjaković	M
RS	DronjakMilica	Milica	Dronjak	F
RS	DujovićSaša	Saša	Dujović	M
RS	DukićMilorad	Milorad	Dukić	M
RS	DulićOliver	Oliver	Dulić	M
RS	DulićMarkovićIvana	Ivana	Dulić Marković	F
RS	DumbelovićČedo	Čedo	Dumbelović	M
RS	DunjićGoran	Goran	Dunjić	M
RS	DunjićMilomir	Milomir	Dunjić	M
RS	DuvnjakMomčilo	Momčilo	Duvnjak	M
RS	DžamićSrboljub	Srboljub	Džamić	M
RS	DžudževićEsad	Esad	Džudžević	M
RS	EkresRozalija	Rozalija	Ekres	F
RS	ElfićEmir	Emir	Elfić	M
RS	ErićNinoslav	Ninoslav	Erić	M
RS	ErnjakovićMilan	Milan	Ernjaković	M
RS	EštonKetrin	Ketrin	Ešton	M
RS	FaTomićJovana	Jovana	Fa Tomić	F
RS	FehratovićJahja	Jahja	Fehratović	M
RS	FilaToma	Toma	Fila	M
RS	FileŠtefan	Štefan	File	M
RS	FilipovPredrag	Predrag	Filipov	M
RS	FilipovićAna	Ana	Filipović	F
RS	FilipovićNenad	Nenad	Filipović	M
RS	FilipovićSrbislav	Srbislav	Filipović	M
RS	FilipovskiDubravka	Dubravka	Filipovski	F
RS	FremondArpad	Arpad	Fremond	M
RS	FremondÁrpád	Árpád	Fremond	M
RS	GajevićGorica	Gorica	Gajević	F
RS	GajićAleksandar	Aleksandar	Gajić	M
RS	GajićGordana	Gordana	Gajić	F
RS	GajićGorica	Gorica	Gajić	F
RS	GalgoFerenciAndrea	Andrea	Galgo-Ferenci	F
RS	GarčevićVladimir	Vladimir	Garčević	M
RS	GavrilovićMarko	Marko	Gavrilović	M
RS	GavrilovićMilica	Milica	Gavrilović	F
RS	GavrilovićSlobodan	Slobodan	Gavrilović	M
RS	GavrilovićSvetozar	Svetozar	Gavrilović	M
RS	GačevićRodoljub	Rodoljub	Gačević	M
RS	GašićBratislav	Bratislav	Gašić	M
RS	GegićBajro	Bajro	Gegić	M
RS	GerovRadmila	Radmila	Gerov	F
RS	GirićNinoslav	Ninoslav	Girić	M
RS	GlamočićDragan	Dragan	Glamočić	M
RS	GlavčevDimitar	Dimitar	Glavčev	M
RS	GligorijevićZoran	Zoran	Gligorijević	M
RS	GligorićBranko	Branko	Gligorić	M
RS	GlišićDarko	Darko	Glišić	M
RS	GlišićVladan	Vladan	Glišić	M
RS	GogićBranko	Branko	Gogić	M
RS	GojkovićMaja	Maja	Gojković	F
RS	GojkovićSlobodan	Slobodan	Gojković	M
RS	GojkovićVesna	Vesna	Gojković	F
RS	GojkovićŽika	Žika	Gojković	M
RS	GolubovićDragan	Dragan	Golubović	M
RS	GolubovićDušan	Dušan	Golubović	M
RS	GoravicaBranislava	Branislava	Goravica	F
RS	GordićVladimir	Vladimir	Gordić	M
RS	GovedaricaBalša	Balša	Govedarica	M
RS	GrahovacVladimir	Vladimir	Grahovac	M
RS	GrbićLjubodrag	Ljubodrag	Grbić	M
RS	GrbićMaja	Maja	Grbić	F
RS	GrigorjevičAleksandar	Aleksandar	Grigorjevič	M
RS	GrubačkiBranislav	Branislav	Grubački	M
RS	GrubetićIvan	Ivan	Grubetić	M
RS	GrubješićSuzana	Suzana	Grubješić	F
RS	GruborBorka	Borka	Grubor	F
RS	GrujićMladen	Mladen	Grujić	M
RS	GudurićStevan	Stevan	Gudurić	M
RS	GudurićStevanŽ	Stevan Ž.	Gudurić	M
RS	GušićMiroslava	Miroslava	Gušić	F
RS	GvozdenovićSlobodan	Slobodan	Gvozdenović	M
RS	HajdarevićKenan	Kenan	Hajdarević	M
RS	HalimiRiza	Riza	Halimi	M
RS	HamzagićŠerif	Šerif	Hamzagić	M
RS	HanJohanes	Johanes	Han	M
RS	HasaniFatmir	Fatmir	Hasani	M
RS	HasanovićKoraćBiljana	Biljana	Hasanović-Korać	F
RS	HiberDragor	Dragor	Hiber	M
RS	HinićSlavko	Slavko	Hinić	M
RS	HodžićMirsad	Mirsad	Hodžić	M
RS	HomanVladimir	Vladimir	Homan	M
RS	HomenSlobodan	Slobodan	Homen	M
RS	HrebikJaroslav	Jaroslav	Hrebik	M
RS	HristoduloMirosav	Mirosav	Hristodulo	M
RS	HristoduloMiroslav	Miroslav	Hristodulo	M
RS	HukićHana	Hana	Hukić	F
RS	HurićZeldžo	Zeldžo	Hurić	M
RS	IgićRužica	Ružica	Igić	F
RS	IlićBorko	Borko	Ilić	M
RS	IlićDušan	Dušan	Ilić	M
RS	IlićGoran	Goran	Ilić	M
RS	IlićMilan	Milan	Ilić	M
RS	IlićMile	Mile	Ilić	M
RS	IlićMiomir	Miomir	Ilić	M
RS	IlićRadiša	Radiša	Ilić	M
RS	IlićVelimir	Velimir	Ilić	M
RS	IlićVladimir	Vladimir	Ilić	M
RS	IlićStošićBiljana	Biljana	Ilić Stošić	F
RS	ImamovićEnis	Enis	Imamović	M
RS	IsailovićObrad	Obrad	Isailović	M
RS	IvanjiŽeljko	Željko	Ivanji	M
RS	IvanovićBranislav	Branislav	Ivanović	M
RS	IvanovićMiladin	Miladin	Ivanović	M
RS	IvanovićNataša	Nataša	Ivanović	F
RS	IvićMirjana	Mirjana	Ivić	F
RS	IvkovićBranislav	Branislav	Ivković	M
RS	IvkovićVesna	Vesna	Ivković	F
RS	IvoševićZoran	Zoran	Ivošević	M
RS	IšpanovićIštvan	Ištvan	Išpanović	M
RS	IšpanovičIštvan	Ištvan	Išpanovič	M
RS	JablanovićAleksandar	Aleksandar	Jablanović	M
RS	JagodićMihajlo	Mihajlo	Jagodić	M
RS	JakovljevićBiljana	Biljana	Jakovljević	F
RS	JakovljevićBojan	Bojan	Jakovljević	M
RS	JakšićGoran	Goran	Jakšić	M
RS	JakšićMarko	Marko	Jakšić	M
RS	JanačkovićBratoljub	Bratoljub	Janačković	M
RS	JanićevićBogoljub	Bogoljub	Janićević	M
RS	JanjićSlobodan	Slobodan	Janjić	M
RS	JanjuševićKrsto	Krsto	Janjušević	M
RS	JanjuševićMarija	Marija	Janjušević	F
RS	JankovRatko	Ratko	Jankov	M
RS	JankovićAleksandar	Aleksandar	Janković	M
RS	JankovićAleksandra	Aleksandra	Janković	F
RS	JankovićBranislav	Branislav	Janković	M
RS	JankovićBranka	Branka	Janković	F
RS	JankovićBrankica	Brankica	Janković	F
RS	JankovićDagoljub	Dagoljub	Janković	M
RS	JankovićDobrica	Dobrica	Janković	M
RS	JankovićDragoljub	Dragoljub	Janković	M
RS	JankovićDušan	Dušan	Janković	M
RS	JankovićMarko	Marko	Janković	M
RS	JankovićMilan	Milan	Janković	M
RS	JankovićMiloš	Miloš	Janković	M
RS	JankovićMiroslav	Miroslav	Janković	M
RS	JankovićNenad	Nenad	Janković	M
RS	JankovićSaša	Saša	Janković	M
RS	JankovićSlobodan	Slobodan	Janković	M
RS	JankovićTomislav	Tomislav	Janković	M
