country	pm_id	ches_id	year	chesversion	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_three	mip_two	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote
DK	KF	KF	2014	2020.1	7.0	7.60	-	-	7.62	-	-	2.5	7.22	-	13620	2.10	-	-	-	6.62	1	6.30	2011	-	6.67	9.1	6.38	-	-	-	1.1	-	4.71	4.5	3.88	-	-	-	4.71	-	5.57	-	6.43	-	5.5	-	4.09	3.67	1	11	2	7.20	-	-	4.89	-	0.0	-	7.10	-	-	2	-	13	42	12	-	-	7.30	7.10	-	-	-	6.75	-	4.67	-	5.67	-	4.5	-	5.30	7.5	-	5.22	-	-	-	4.9
DK	KF	KF	2019	2020.1	7.07	7.57	2.22	1.67	7.36	-	4.45	2.15	7.36	-	13620	1.54	-	-	-	6.85	1	6.31	2019	5.93	5.5	6.2	6.23	-	-	3.25	-	3.25	3.5	4.33	3.33	-	-	-	-	-	4	-	6.25	-	5.71	-	4.71	-	1	14	2	6.07	2.7	2.33	5.64	-	0.0	2.43	7.5	6.36	-	-	7.29	-	-	-	2.77	6.15	7.38	6.33	3.08	3	6.64	7.21	-	4.75	-	3.78	1.08	6.90	-	4.14	7.08	-	4.57	-	-	-	6.6
DK	LA	LA	2010	2020.1	8.20	9.18	-	-	-	-	-	-	3.71	5	13001	-	-	-	8	9.09	1	-	2007	3.10	7	0.59	3.88	4.78	-	-	1.82	-	-	4.33	1.8	-	-	-	5.5	-	4.83	-	6.88	-	6.12	-	3.75	5	1	11	3	3.11	-	-	-	-	0.0	-	4	5.20	3.75	3.75	-	-	-	-	-	5.90	3.56	-	-	-	6.73	7.64	3.43	5.14	3	2.33	-	2.8	5.12	2.12	9.36	9	2.78	2.70	-	-	2.8
DK	LA	LA	2014	2020.1	7.90	9.10	-	-	8.33	-	-	3.12	5.14	-	13001	2.10	-	-	-	9.11	1	8.60	2011	-	7.75	2.9	5.12	-	-	-	1.89	-	3.33	3.60	1.86	-	-	-	4.14	-	3.71	-	6.12	-	3.80	-	4.27	3.5	1	11	3	2.56	-	-	5.33	-	0.0	-	4.10	-	-	4.33	-	13	17	5	-	-	4.89	4.56	-	-	-	8.25	-	3	-	1.22	-	5	-	1.5	9.33	-	2.62	-	-	-	4.9
DK	LA	LA	2019	2020.1	8.0	8.71	0.89	1	8.43	-	3.36	3.54	4.36	-	13001	1.62	-	-	-	8.46	1	8.31	2019	2.36	6.79	2.2	5.31	-	-	3.09	-	5	2.27	2.78	3.88	-	-	-	-	-	2.55	-	5.83	-	4.07	-	3.64	-	1	14	3	3.86	3.90	5.33	4.43	-	0.0	4.79	6.29	4.57	-	-	8.57	-	-	-	4.69	4.69	5.69	4.17	4.5	1.18	7.93	9.07	-	5.40	-	1.5	0.77	2.3	-	2.64	9.38	-	3.93	-	-	-	2.3
DK	NB	NB	2019	2020.1	9.0	8.57	2.89	2	5.71	-	8.82	6.42	8.83	-	-	1.69	-	-	-	8.23	1	8.23	2019	1.86	6.77	-	9.46	-	-	1.09	-	1.75	1.3	2.33	2	-	-	-	-	-	1.5	-	3.70	-	1.79	-	4.71	-	1	14	1	8.31	2.40	1	7.58	-	0.0	0.64	9.64	9.79	-	-	9.21	-	-	-	0.77	8.85	9.69	9.17	5.40	3.44	6.5	8.79	-	4.5	-	4.78	0.85	2.3	-	6.18	9	-	5.27	-	-	-	2.4
DK	NQ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
DK	RV	RV	1999	2020.1	5.0	5.29	-	-	-	-	-	-	-	-	13410	-	-	-	-	-	1	-	1998	-	-	9.10	-	-	-	5.5	-	-	-	5.29	2.86	-	5.71	6.57	4.71	4.14	5.14	-	-	-	5.57	-	5	-	1	7	3	3.40	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	3.90	-	-	-	-	-	-	-	-	3.9
DK	RV	RV	2002	2020.1	5.08	5.31	-	-	-	-	-	-	-	-	13410	-	-	-	-	-	1	-	2001	-	-	9.10	-	-	3.92	5.85	-	-	-	5	2.82	-	5	6.42	5	-	5	-	5.08	-	5.77	-	7.43	-	1	13	3	2.54	-	-	-	-	0.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-	-	-	-	5.2
DK	RV	RV	2006	2020.1	4.78	5.75	-	-	-	-	-	-	2.20	7.60	13410	-	1.5	7	6.40	7.40	1	-	2005	-	-	6.40	2.75	8	-	-	-	-	-	5.29	1.44	-	-	-	4.75	-	5.86	-	6.25	-	6.67	-	5.20	5.5	1	9	3	2	-	-	-	-	0.0	-	2.40	8.75	-	-	-	-	-	-	-	-	2.8	-	-	-	4.80	5.80	3.25	4.5	4.25	1.60	-	9.5	6	1.20	6	7	1.67	2.75	4	6	9.20
