ches_survey	country	parlamint	party_id	party	year	lrgen	lrecon	lrecon_blur	lrecon_dissent	lrecon_salience	lrecon_sd	anti_islam_rhetoric	antielite_salience	civlib_laworder	civlib_salience	cmp_id	corrupt_salience	cosmo	cosmo_salience	dereg_salience	deregulation	eastwest	econ_interven	electionyear	enviro_salience	environment	epvote	ethnic_minorities	ethnic_salience	eu_agri	eu_asylum	eu_benefit	eu_blur	eu_budgets	eu_cohesion	eu_dissent	eu_econ_require	eu_employ	eu_environ	eu_ep	eu_fiscal	eu_foreign	eu_googov_require	eu_intmark	eu_political_require	eu_position	eu_position_sd	eu_salience	eu_turkey	eumember	expert	family	galtan	galtan_blur	galtan_dissent	galtan_salience	galtan_sd	govt	immigrate_dissent	immigrate_policy	immigrate_salience	international_salience	international_security	members_vs_leadership	mip_one	mip_two	mip_three	multicult_dissent	multicult_salience	multiculturalism	nationalism	people_vs_elite	protectionism	redist_salience	redistribution	region_salience	regions	relig_salience	religious_principles	russian_interference	seat	social_salience	sociallifestyle	spendvtax	spendvtax_salience	urban_rural	urban_salience	us	us_salience	vote	chesversion
1999-2019	HU	JOBBIK + JOBBIK-frakció	2308	JOBBIK	2019	7.7	4.1	4.9	4.2	6.4	-	6.9	6.6	8.6	-	86710	8.6	-	-	-	3.6	0	2.8	2018	3.8	5.6	6.3	7.7	-	-	1.9	-	5.2	2.6	6.4	4.3	-	-	-	-	-	2.8	-	4.5	-	3.8	-	6.3	-	1	15	1	8.1	1.5	3.6	8.4	-	0.0	2.4	9.1	7.8	-	-	6.8	-	-	-	2.8	7.2	8.4	9.2	5.5	7.9	6.3	4.6	-	6.5	-	7.9	5.2	14.4	-	8.5	4.3	-	7.6	-	-	-	19.1	2020.1
1999-2019	HU	KDNP + KNDP-frakció	2307	KDNP	2006	7.5	2.2	-	-	-	-	-	-	6.2	5.8	86522	-	8	8	5	3.2	0	-	2006	-	-	-	5	4	-	-	-	-	-	6.2	2.4	-	-	-	4	-	5.2	-	4.2	-	4.5	-	6.1	2.2	1	6	4	8.3	-	-	-	-	0.0	-	7.2	7.5	-	-	-	-	-	-	-	-	6.8	-	-	-	5.2	2.6	3.8	5.8	8.2	9	-	6	6.8	8.4	4.6	5	7.4	7.5	3.2	5.2	5.9	2020.1
1999-2019	HU	KDNP + KNDP-frakció	2307	KDNP	2010	7.6	3.1	-	-	-	-	-	-	8.2	5.9	86522	-	-	-	4.8	3.5	0	-	2010	2.6	6.3	-	6.3	4.7	-	-	2	-	-	5.5	3.2	-	-	-	4.8	-	4.6	-	4	-	4.9	-	4.8	3.3	1	17	4	8.3	-	-	-	-	1.0	-	6.7	5	3.1	4.9	-	-	-	-	-	5.1	7.9	-	-	-	6.5	4.4	4.6	7.3	8.8	9.2	-	9.3	6.6	8.2	6.4	7.1	6.9	5.6	-	-	7.3	2020.1
1999-2019	HU	LMP + LMP-frakció	2309	LMP	2010	3.5	3.7	-	-	-	-	-	-	1.5	7.8	86110	-	-	-	5.6	4.9	0	-	2010	8.9	0.8	2.6	2.1	5.6	-	-	1	-	-	6.2	1.2	-	-	-	6.3	-	5.8	-	5.5	-	6.5	-	7.7	5.7	1	17	7	1.4	-	-	-	-	0.0	-	3	4.1	3.8	6.1	-	-	-	-	-	5.9	2.2	-	-	-	5.5	4.5	5.1	2.6	3.8	1.4	-	4.1	7.7	1.9	4.5	6.1	3.7	5.9	-	-	7.5	2020.1
1999-2019	HU	LMP + LMP-frakció	2309	LMP	2014	4.3	3.6	-	-	6	-	-	7.4	2	-	86110	8.7	-	-	-	3.6	0	3.3	2014	-	0.7	5	2.8	-	-	-	1.4	-	3.7	6.1	2.8	-	-	-	5.2	-	5.1	-	4.3	-	5.3	-	6.1	4	1	14	7	2.9	-	-	6.8	-	0.0	-	3	-	-	5.5	-	6	3	1	-	-	3.2	3.6	-	-	-	2.9	-	2.5	-	1.9	-	2.5	-	1.8	3.8	-	4.5	-	-	-	5.3	2020.1
1999-2019	HU	LMP + LMP-frakció	2309	LMP	2019	3.9	3.7	4	5.5	6.6	-	2.3	4.3	3.2	-	86110	8.9	-	-	-	4.3	0	3.5	2018	9.1	1.9	2.2	2.5	-	-	4.2	-	3.2	4.6	6.3	4.2	-	-	-	-	-	5	-	5.3	-	5.5	-	7.5	-	1	15	7	3.1	4.5	4.9	6	-	0.0	4.9	5.1	4.1	-	-	3.6	-	-	-	4.3	4.4	5.4	3.7	4.9	5.6	6.1	4	-	2.9	-	2.6	4.7	4.4	-	2.7	2.9	-	4.4	-	-	-	7.1	2020.1
-	HU	MLP	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
-	HU	MNOÖ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
1999-2019	HU	MSZP	2301	MSzP	2002	3.4	5.2	-	-	-	-	-	-	-	-	86220	-	-	-	-	-	0	-	2002	-	-	-	-	-	5.7	5.6	-	-	-	6.2	2.4	-	5.2	5.4	5.3	-	5.7	-	5.7	-	6.9	-	9.5	-	0	14	5	3.4	-	-	-	-	1.0	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	46.1	-	-	-	-	-	-	-	-	42.1	2020.1
1999-2019	HU	MSZP	2301	MSzP	2006	3.7	6.5	-	-	-	-	-	-	4.8	4.8	86220	-	3.4	6	5	5.4	0	-	2006	-	-	34.3	4.2	4.3	-	-	-	-	-	6.4	2	-	-	-	5.5	-	5.8	-	5.8	-	6.8	-	6.1	4.8	1	6	5	4	-	-	-	-	1.0	-	5.2	5	-	-	-	-	-	-	-	-	4.2	-	-	-	5.8	4.8	4.2	5	5	2.6	-	49.2	4	4.4	5	5.2	3.8	5.2	5.5	4.5	43.2	2020.1
