country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
FI	1	1	1999	5	1413		KIPU	.4	.5	1999		7	0.0	2.5	4.375	0			3.75	1.75		2			4.25	4.5	1.75	1.75		4.75	4.5				3.75																																																2020.1
FI	1	1	1999	5	1402	14620	KOK	21	23	1999	25.29999923706055	2	1.0	7.0	6	0			4.599999904632568	5.199999809265137		4			4.599999904632568	6	5	5.599999904632568		7.599999904632568	8.199999809265137				5.400000095367432																																																2020.1
FI	1	1	2002	9	1402	14620	KOK	21	23	1999	25.29999923706055	2	1.0	6.67	7.0333328	1.4777777			5		5.78	4.25		4.38	4.29	4.75	4.57	5.33		7.0	7.22				5.78																																																2020.1
FI	1	1	2006	12	1402	14620	KOK	18.6	20	2003	23.70000076293945	3	0.0	6.67	7.5	1.033			5.55		6.55				5.56			6.36	4.36	6.91	7.36				5.22				6.78000020980835	6.21999979019165	7	6.630000114440918	5.889999866485596	5.25		5.5	4.78000020980835	5.110000133514404	4.75	5	3.559999942779541	5	4.329999923706055		5.5599999			2.890000104904175	5.440000057220459			3.6700001	4.4400001		5.5	5			5.8899999	4.3299999	4.670000076293945	3.329999923706055											2020.1
FI	1	1	2010	10	1402	14620	KOK	22.3	25	2007	23.20999908447266	3	1.0	6.44444465637207	7.6666665	1.5		1	5.777777671813965		6.5				5.55555534362793			6	4.222222328186035	7.5	7.600000381469727				4.5				6.599999904632568	6.800000190734863	7	6.199999809265137	6.699999809265137	5.400000095367432		5.900000095367432	5.300000190734863	4.5	4.599999904632568	4.75	3.375	5.800000190734863	4.5		5.5	4.2222223		2.5	5.111111164093018	6.6999998	4.6999998				6.4444447	4.4444447	4.5555553	4.3333335			5.199999809265137	3.888888835906982											2020.1
FI	1	1	2014	10	1402	14620	KOK	20.4	22	2011	22.6	3	1.0	6.599999904632568	7.0999999	2.5999999		1.1	6		6.699999809265137		5.2222223		5.333333492279053			6	4.599999904632568	7.666666507720947	8.222222328186035	8.7777777			4.75	4.1111112			7.75		7.142857074737549		7.428571224212646		7.375	6.428571224212646		5.857142925262451		5.571428775787354		5.125			5.25			2.125		7					7.25		4.125				5		4.625				.875	3		13	5	14	2020.1
FI	1	1	2019	14	1402	14620	KOK	17	19.200001	2019	20.8	2	0.5	6.428571224212646	6.8571429	2.1666667	4.5				6.416666507720947		4.7272725		5.222222328186035		4.363636493682861	4.800000190734863		7.714285850524902	7.857142925262451	8.6428576	1.8888888	3.8	5.071428775787354	5.2142859	4.25	5.5999999	7.538461685180664		7.714285850524902		6.857142925262451	7.428571224212646	7.2857141	6.642857074737549		4.071428775787354		5.333333492279053		4.428571224212646	5.214285850524902	5	5.3571429	5.5714288	5.5714288	2.285714387893677		5.7142859	5.9285712			2.3333333	5.6923075						4.714285850524902		3.8571429	3.3333333	1.6363636	2.3333333	1.6923077	2.909091	6.7272725				2020.1
FI	1	1	1999	5	1405	14820	PS	1	.5	1999		11	0.0	2.0	5	.99999994			3	1.399999976158142		1.600000023841858			4	4.199999809265137	1.200000047683716	1.200000047683716		6.800000190734863	5.400000095367432				7.800000190734863																																																2020.1
FI	1	1	2006	11	1405	14820	PS	1.6	1.5	2003	.5400000214576721	1	0.0	1.64	8.8000002	.55000001			2.27		1.82				3.67			1.64	1.82	6.3	4.82				7.64				3.559999942779541	5.670000076293945	2.75	4.630000114440918	3	6.880000114440918		6.880000114440918	6.21999979019165	7.889999866485596	6.78000020980835	5.670000076293945	4.78000020980835	8.109999656677246	8.220000267028809		7.8899999			5.78000020980835	6.559999942779541			8.5600004	7.4400001		3.3800001	5.3800001			3.4400001	4.2199998	7.21999979019165	6.670000076293945											2020.1
FI	1	1	2010	10	1405	14820	PS	4.1	2.5	2007	9.789999961853027	1	0.0	1.666666626930237	8.666666	1		3	2.200000047683716		2.299999952316284				3.25			1.899999976158142	1.299999952316284	5.400000095367432	4.300000190734863				7.5				3.900000095367432	6	3.099999904632568	5.199999809265137	2.5	5.800000190734863		7.300000190734863	6.44444465637207	8.5	6.800000190734863	6.55555534362793	5.375	9.100000381469727	8.899999618530273		9.1000004	8.875		6.300000190734863	5.44444465637207	7.4000001	4				4	4.625	5.7777777	5.2222223			8.300000190734863	7.400000095367432											2020.1
