country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
ES	1	1	2019	15	517	33907	CC	.51	.60000002	2019		8	0.0	6.384615421295166	5.7272725	2.8	2				6.142857074737549		4.8333335		6.222222328186035		4.142857074737549	5		6.714285850524902	6.357142925262451	6.75	4.6666665	2.8333333	6.307692527770996	5.0999999	1.75	4	6.333333492279053		6.083333492279053		5.75	6.181818008422852	6	6.083333492279053		4.363636493682861		5.5		6.545454502105713	5.909090995788574	2.2222223	6.25	5.2727275	1.8888888	5.333333492279053		5.4545455	4.9000001			5.5999999	2						3.599999904632568		6.090909	.1	.44444445	3.5999999	2	3.7	7.8888888				2020.1
ES	1	1	2006	11	520	33909	CHA	.4	.30000001	2004		8	0.0	5.0	2.9333334	2.4000001			4.8		4.29				6.13			4.4	5	2.75	2.38				1.88				1.669999957084656	6.5	2.170000076293945	5.329999923706055	2.430000066757202	5.130000114440918		3.140000104904175	6.800000190734863	2.140000104904175	5.139999866485596	2.630000114440918	3.670000076293945	4.710000038146973	5.380000114440918		4.71			6.670000076293945	4.570000171661377			6.5700002	6.4299998		2.2	8.6999998			2.3800001	3.4300001	3.170000076293945	7											2020.1
ES	1	1	2010	11	520	33909	CHA	.15	0	2008		8	0.0	5.0	3.3333333	1.5		1.8333334	4.714285850524902		4.714285850524902				7			5.5	4.75	2.900000095367432	2.555555582046509				2				1.857142806053162	6.142857074737549	2.285714387893677	5.5	2	6.285714149475098		3.555555582046509	6	1	7.142857074737549	1.571428537368774	3.857142925262451	4	6.199999809265137		3.3333333	5.8000002		5.199999809265137	3.400000095367432	1.8333334	6.5714288				1.1	9	5.3333335	3.125			2.142857074737549	6.714285850524902											2020.1
ES	1	1	1999	12	505	33611	CiU	4.6	4.5999999	1996	4.429999828338623	8	0.0	6.583333492279053	7.083333	1.25			5.909090995788574	5		5.875			6.454545497894287	5.5	5.666666507720947	6.166666507720947		6.125	6.083333492279053				5.875																																																2020.1
ES	1	1	2002	13	505	33611	CiU	4.2	4.3000002	2000	4.429999828338623	8	0.0	6.46	8.8000002	1.3666667			5.73		6.09	5.73		5.45	6.27	5.18	5.7	5.6		6.15	7.15				6.23																																																2020.1
ES	1	1	2006	13	505	33611	CiU	3.2	2.9000001	2004	2.549999952316284	8	0.0	6.31	5.7666669	1.8200001			5.58		6.31				6.58			6	4.13	6.25	6.54				6.54				6.360000133514404	6.449999809265137	6.269999980926514	5.449999809265137	5.820000171661377	4.579999923706055		5.75	6.599999904632568	4.920000076293945	4.730000019073486	5.5	5.099999904632568	5.900000095367432	6.329999923706055		6.75			4.889999866485596	2.329999923706055			8	7.4400001		.73000002	9.6700001			5.5	4.0900002	3.329999923706055	7.329999923706055											2020.1
ES	1	1	2010	11	505	33611	CiU	3.1	3.0999999	2008		8	0.0	6.090909004211426	5.757576	1.4545455		1.3333334	5.272727489471436		6.090909004211426				6.272727489471436			5.909090995788574	3.75	6.0	6.5				6.333333492279053				7.181818008422852	5.699999809265137	7	5.909090995788574	6.454545497894287	4.900000095367432		5.636363506317139	5.636363506317139	5.800000190734863	5.199999809265137	6.300000190734863	5.777777671813965	6.199999809265137	6.888888835906982		7.5999999	7.1428571		5.666666507720947	3.571428537368774	6	4				.27272728	9.909091	4.3000002	3.1111112			4.111111164093018	7											2020.1
ES	1	1	2014	10	505	33611	CiU	4.2	4.5999999	2011	3.6	8	0.0	6.300000190734863	6.8000002	1.3333334		1.2222222	6.375		6.599999904632568		5.4444447		6.75			6.25	4.142857074737549	6.199999809265137	7.0	5.5555553			6.199999809265137	4.5555553			6.5		6.699999809265137		6.5		6.6999998	6.599999904632568		5.599999904632568		6.900000095367432		6.666666507720947			7.875			5.5		6.8888888					.30000001		4.875				4.625		8.1000004				1.9	3.4000001		12	4	13	2020.1
ES	1	1	2010	11	521		CpE			2008	5.099999904632568	8	0.0	5.0	6	1.3333334		2.5454545	5.599999904632568		6.199999809265137				6.285714149475098			6.25	4	5.400000095367432	5.400000095367432				5.400000095367432				6.333333492279053	6	5.800000190734863	4.400000095367432	5.5	5.25		5.25	5.25	4.25	4.25	4.25	4.666666507720947	5	6		6.5	7		4.5	1	6	4				.2	10	4.5	1			2	7.75											2020.1
ES	1	1	2019	15	526		Cs	6.8	2.9000001	2019	12.18	3	0.0	6.733333110809326	6.3333335	2.3333333	2.8333333				6.333333492279053		5.8000002		6.111111164093018		4.714285850524902	6.125		7.199999809265137	7.400000095367432	6.4000001	4.6666665	3.6666667	5.466666698455811	6.1999998	2.625	5.6666665	8		8.230769157409668		6.533333301544189	6.214285850524902	7.8666668	6.769230842590332		4.133333206176758		4.199999809265137		6.428571224212646	5.599999904632568	2.4615386	6.6428571	5	2.6923077	2.533333301544189		6.7142859	3.7857144			3.1666667	8.1428576						6.571428775787354		7	.60000002	.92307693	1.7857143	1.6153846	5.2857141	8.5714283				2020.1
