country	eastwest	eumember	year	expert	party_id	cmp_id	party	vote	seat	electionyear	epvote	family	govt	eu_position	eu_salience	eu_dissent	eu_blur	eu_benefit	eu_ep	eu_fiscal	eu_intmark	eu_employ	eu_budgets	eu_agri	eu_cohesion	eu_environ	eu_asylum	eu_foreign	eu_turkey	lrgen	lrecon	lrecon_salience	lrecon_dissent	lrecon_blur	galtan	galtan_salience	galtan_dissent	galtan_blur	spendvtax	spendvtax_salience	deregulation	dereg_salience	redistribution	redist_salience	econ_interven	civlib_laworder	civlib_salience	sociallifestyle	social_salience	religious_principles	relig_salience	immigrate_policy	immigrate_salience	immigrate_dissent	multiculturalism	multicult_salience	multicult_dissent	urban_rural	urban_salience	environment	enviro_salience	cosmo	cosmo_salience	protectionism	regions	region_salience	international_security	international_salience	us	us_salience	ethnic_minorities	ethnic_salience	nationalism	russian_interference	anti_islam_rhetoric	people_vs_elite	antielite_salience	corrupt_salience	members_vs_leadership	mip_one	mip_two	mip_three	chesversion
BG	0	0	2002	11	2005		G-VMRO	3.6	0	2001		2	0.0	4.88	5.2333331	2.9666667			4.33		4	6		6.75	6.25	6	5	3.8		6.25	6.57				6.43																																																2020.1
BG	0	1	2010	14	2010	80510	GERB	39.72	48.299999	2009	24.36000061035156	2	1.0	6.727272510528564	9.090909	.5		1	5.714285850524902		6.25				6.699999809265137			6.25	5	6.083333492279053	6.272727489471436				6.909090995788574				5.818181991577148	5.300000190734863	6.222222328186035	5.285714149475098	6	5.800000190734863		8.833333015441895	8.5	7	4.222222328186035	4.909090995788574	2.900000095367432	6.44444465637207	4.857142925262451		7	4.1666665		3.875	4.875	6.75	3.4285715				4.625	4.4444447	3.875	4			5.636363506317139	5.300000190734863											2020.1
BG	0	1	2014	20	2010	80510	GERB	32.7	35	2014	30.4	2	0.5	6.764705657958984	8.8235292	.66666669		1	5.357142925262451		6.3125		5.5294118		6.9375			5.875	4.823529243469238	6.5	7.0	8.1176472			5.117647171020508	4.25			6.571428775787354		7		6.882352828979492		6.2352943	5.941176414489746		5.466666698455811		5.285714149475098		6.266666889190674			5.2857141			3.941176414489746		6.5625					4.4444447		3.2				4.733333110809326		5.0588236				4.9411764	6.4705882		8	3	13	2020.1
BG	0	1	2019	21	2010	80510	GERB	33.54	39.599998	2017	31.1	2	1.0	6.550000190734863	8.6000004	2.1818182	3.1111112				6.449999809265137		5.2666669		6.699999809265137		4.44444465637207	5.44444465637207		6.095238208770752	6.095238208770752	8	1.8	5.3636365	5.761904716491699	4.5714288	5.3076925	4.375	5.333333492279053		6		5.904761791229248	4.666666507720947	5.7619047	6.736842155456543		5.894736766815186		5.470588207244873		6.809523582458496	5.714285850524902	2.5263157	6.3333335	5.0555553	2.1578948	3.700000047683716		5.9523811	2.8571429			4.2105265	5.9333334						4.599999904632568		5.8499999	5.4499998	2.4000001	4.0476189	2.4285715	4.9499998	8.8571424				2020.1
BG	0	0	2002	11	2006		KSII	3.4	0	2001		9	0.0	5.67	6.6666665	2.8888888			6		6	6		6.5	7	6	6.5	5.33		6.86	6.29				6.33																																																2020.1
BG	0	0	2002	11	2003	80221	KzB	17.1	20	2001		5	0.0	6.18	8.5	3.8888888			6		5.6	6.4		6.43	6.86	5.33	6.25	5.1		2.27	2.72				6.89																																																2020.1
BG	0	0	2006	13	2003	80221	KzB	31	34.200001	2005		5	1.0	6.46	9.166667	2.6700001			5.67		5.9				6.82			5.36	4.91	3.31	3.25				5.83				4.269999980926514	5.5	4.199999809265137	4	3	5.5		6.329999923706055	5.099999904632568	4.900000095367432	3.630000114440918	3.299999952316284	2.380000114440918	5.21999979019165	2.859999895095825		6			5.199999809265137	4.880000114440918			6.1100001	5.1999998		5.1700001	3.5			4.4499998	5	4.670000076293945	5.730000019073486											2020.1
BG	0	1	2010	14	2003	80221	KzB	17.7	16.700001	2009	18.5	5	0.0	6.0	6.060606	3.5999999		1.5454545	5.5		5.25				6.400000095367432			5.5	4.400000095367432	3.0	2.545454502105713				6.272727489471436				2.636363744735718	5.900000095367432	2.555555582046509	5.428571224212646	3.400000095367432	6.599999904632568		5.181818008422852	6	5.699999809265137	4.199999809265137	3.545454502105713	2.700000047683716	5.375	4		6.5	4.1666665		6.888888835906982	7	6.125	3.1428571				6.8571429	3.625	5.75	4.25			5.181818008422852	5.800000190734863											2020.1
BG	0	1	2010	14	2011		L	3.3	0	2009	5.699999809265137	2	0.0	4.0	2.2222221	7		2	3.5		3				5			3	2	6.0	4.428571224212646				8.199999809265137				5.166666507720947	4.833333492279053	5.5	4.75	4.5	4		6	4.5	7.199999809265137	4	4.5	2.5	5	3.333333253860474		5	2.5		6	2.75	8	2.4000001				2	0	5	1.6666666			5.333333492279053	4											2020.1
BG	0	0	2002	11	2001	80902	NDSV	42.7	50	2001		3	1.0	6.45	9.3999996	2.3333333			5.4		6.17	6		6	6.71	5.5	6.2	5.4		5.64	5.73				5.1																																																2020.1
