Country	orgType	orgID	AbbrName	FullName	From	To	Orientation-LR	Wikipedia	CHES-ID	CHES-Name
BA	parliamentaryGroup	party.SNS	SNS	Srpski narodni savez	-	-	Desni centar	https://en.wikipedia.org/wiki/Serb_National_Alliance	-	-
BA	parliamentaryGroup	party.SPRS	SPRS	Socijalistička partija	-	-	Lijevi centar	https://bs.wikipedia.org/wiki/Socijalistička_partija_Republike_Srpske	-	-
BA	parliamentaryGroup	party.BOSS	BOSS	Bosanska stranka	-	-	Lijevo	https://en.wikipedia.org/wiki/Bosnian_Party	-	-
BA	parliamentaryGroup	party.EB	EB	Ekonomski blok	-	-	-	https://en.wikipedia.org/wiki/Economic_Bloc	-	-
BA	parliamentaryGroup	party.SDUBIH	SDUBiH	Socijaldemokratska unija Bosne i Hercegovine	-	-	Lijevi centar	https://en.wikipedia.org/wiki/Social_Democratic_Union_of_Bosnia_and_Herzegovina	-	-
BA	parliamentaryGroup	party.SNSD	SNSD	Savez nezavisnih socijaldemokrata	-	-	Sinkretična politika	https://en.wikipedia.org/wiki/Alliance_of_Independent_Social_Democrats	-	-
BA	parliamentaryGroup	party.SPUBIH	SPUBiH	Stranka penzionera-umirovljenika BiH	-	-	-	https://en.wikipedia.org/wiki/Pensioners'_Party_of_Bosnia_and_Herzegovina	-	-
BA	parliamentaryGroup	party.DNS	DNS	Demokratski narodni savez	-	-	Desni centar	https://en.wikipedia.org/wiki/Democratic_People's_Alliance	-	-
BA	parliamentaryGroup	party.HDZ-HK-HNZ	HDZ-HK-HNZ	Koalicija HDZ-HK-HNZ	-	-	Desni centar	https://hr.wikipedia.org/wiki/Hrvatska_demokratska_zajednica_Bosne_i_Hercegovine	-	-
BA	parliamentaryGroup	party.NS_RB	NS_RB	Narodna stranka Radom za boljitak	-	-	Centar	https://hr.wikipedia.org/wiki/Narodna_stranka_Radom_za_Boljitak	-	-
BA	parliamentaryGroup	party.SBB	SBB	Savez za bolju budućnost	-	-	Desni centar	https://en.wikipedia.org/wiki/Union_for_a_Better_Future_of_BiH	-	-
BA	parliamentaryGroup	party.A-SDA	A-SDA	Stranka demokratske aktivnosti	-	-	Desni centar	https://en.wikipedia.org/wiki/Party_of_Democratic_Activity	-	-
BA	parliamentaryGroup	party.DF	DF	Demokratska fronta	-	-	Centar do lijevi centar	https://en.wikipedia.org/wiki/Democratic_Front_(Bosnia_and_Herzegovina)	-	-
BA	parliamentaryGroup	party.HDZ_1990	HDZ_1990	Hrvatska demokratska zajednica 1991	-	-	Desni centar	https://en.wikipedia.org/wiki/Croatian_Democratic_Union_1990	-	-
BA	parliamentaryGroup	party.KOALICIJA	Koalicija	Koalicija Hrvatska demokratska zajednica Bosne i Hercegovine - Hrvatska seljačka stranka - Hrvatska kršćanska demokratska unija Bosne i Hercegovine - Hrvatska stranka prava dr. Ante Starčević - Hrvatska stranka prava Herceg-Bosne	-	-	Desno	https://en.wikipedia.org/wiki/Croatian_Democratic_Union_of_Bosnia_and_Herzegovina https://hr.wikipedia.org/wiki/Hrvatska_seljačka_stranka_Bosne_i_Hercegovine https://bs.wikipedia.org/wiki/Hrvatska_kršćanska_demokratska_unija_Bosne_i_Hercegovine https://en.wikipedia.org/wiki/Croatian_Party_of_Rights_—_Dr._Ante_Starčević https://hr.wikipedia.org/wiki/Hrvatska_stranka_prava_Herceg-Bosne	-	-
BA	parliamentaryGroup	party.PDP-NDP	PDP-NDP	Koalicija Partija demokratskog progresa - Narodni demokratski pokret	-	-	Desni centar	https://en.wikipedia.org/wiki/Party_of_Democratic_Progress https://en.wikipedia.org/wiki/National_Democratic_Movement_(Bosnia_and_Herzegovina)	-	-
BA	parliamentaryGroup	party.NS	NS	Naša stranka	-	-	Centar do lijevi centar	https://en.wikipedia.org/wiki/Our_Party_(Bosnia_and_Herzegovina)	-	-
BA	parliamentaryGroup	party.NB	NB	Nezavisni blok	-	-	Veliki šator	https://bs.wikipedia.org/wiki/Nezavisni_blok	-	-
BA	parliamentaryGroup	party.PDA	PDA	Pokret demokratske akcije	-	-	Desni centar	https://en.wikipedia.org/wiki/Movement_of_Democratic_Action	-	-
BA	parliamentaryGroup	party.SP	SP	Socijalistička Partija	-	-	Lijevi centar	https://en.wikipedia.org/wiki/Socialist_Party_(Bosnia_and_Herzegovina)	-	-
BA	parliamentaryGroup	party.HSS	HSS	Hrvatska seljačka stranka	-	-	Centar	https://hr.wikipedia.org/wiki/Hrvatska_seljačka_stranka_Bosne_i_Hercegovine	-	-
BA	parliamentaryGroup	party.GDS	GDS	Građanska demokratska stranka	-	-	-	https://bs.wikipedia.org/wiki/Građanska_demokratska_stranka_Bosne_i_Hercegovine	-	-
BA	parliamentaryGroup	party.BSP	BSP	Bosanskohercegovačka stranka prava 1861	-	-	-	https://en.wikipedia.org/wiki/Party_of_Rights_of_Bosnia_and_Herzegovina_1861	-	-
BE	government	government.BE	BE	Federale regering	-	-	-	-	-	-
BE	parliament	be_federal_parliament	be_federal_parliament	Federaal Parlement van België	1831-02-07	-	-	https://nl.wikipedia.org/wiki/Federaal_Parlement_van_Belgi%C3%AB https://en.wikipedia.org/wiki/Belgian_Federal_Parliament	-	-
BE	parliamentaryGroup	CVP	CVP	Christelijke Volkspartij	-	-	Centrum	https://en.wikipedia.org/wiki/Christian_Social_Party_(Belgium,_1945)	109	CVP
BE	parliamentaryGroup	CSP	CSP	Christlich Soziale Partei	-	-	Centrum tot centrum-rechts	https://en.wikipedia.org/wiki/Christlich_Soziale_Partei_(Belgium)	-	-
BE	parliamentaryGroup	CPB	CPB	Communistische Partij van België	-	-	Exteemlinks	https://en.wikipedia.org/wiki/Communist_Party_of_Belgium_(1989)	-	-
BE	parliamentaryGroup	D95	D95	Democraten95	-	-	-	-	-	-
BE	parliamentaryGroup	DN	DN	Démocratie Nationale	-	-	Extreemrechts	https://en.wikipedia.org/wiki/National_Front_(Belgium)	115	FN
BE	parliamentaryGroup	D-SA	D-SA	Democratisch-Solidair Appèl	-	-	-	https://nl.wikipedia.org/wiki/Democratisch-Solidair_Appèl	-	-
BE	parliamentaryGroup	EFP	EFP	Europese Federalistische Partij	-	-	-	https://en.wikipedia.org/wiki/European_Federalist_Party	-	-
BE	parliamentaryGroup	HOERA	HOERA	HOERA	-	-	Links	https://en.wikipedia.org/wiki/ROSSEM	-	-
BE	parliamentaryGroup	LSP-PSL	LSP-PSL	Linkse Socialistische Partij	-	-	Exteemlinks	https://en.wikipedia.org/wiki/Left_Socialist_Party_(Belgium)	-	-
BE	parliamentaryGroup	PFF	PFF	Partei für Freiheit und Fortschritt	-	-	-	https://en.wikipedia.org/wiki/Partei_für_Freiheit_und_Fortschritt	-	-
BE	parliamentaryGroup	PC	PC	Parti communiste Wallonie-Bruxelles	-	-	Exteemlinks	https://fr.wikipedia.org/wiki/Parti_communiste_(Wallonie-Bruxelles)	-	-
BE	parliamentaryGroup	PRL	PRL	Parti réformateur libéral	-	-	Centrum-rechts	https://en.wikipedia.org/wiki/Liberal_Reformist_Party_(Belgium)	106	PRL|PRL/MR
BE	parliamentaryGroup	PVV	PVV	Partij voor Vrijheid en Vooruitgang	-	-	Centrum-rechts	https://en.wikipedia.org/wiki/Party_for_Freedom_and_Progress	-	-
BE	parliamentaryGroup	PPBE	PPBE	Piratenpartij in België	-	-	Piratenpartij	https://en.wikipedia.org/wiki/Pirate_Party_(Belgium)	-	-
BE	parliamentaryGroup	ProDG	ProDG	Pro Deutschsprachige Gemeinschaft	-	-	Centrum tot centrum-rechts	https://en.wikipedia.org/wiki/ProDG_(Belgium)	-	-
BE	parliamentaryGroup	ROSSEM	ROSSEM	Radicale Omvormers en Sociale Strijders voor een Eerlijker Maatschappij	-	-	Links	https://en.wikipedia.org/wiki/ROSSEM	-	-
BE	parliamentaryGroup	R.W.F.	R.W.F.	Rassemblement Wallonie-France	-	-	-	https://en.wikipedia.org/wiki/Rassemblement_Wallonie_France	-	-
BE	parliamentaryGroup	SoLiDe	SoLiDe	Sociaal Onafhankelijk Liberaal Integer Democratisch Evenwichtig	-	-	Links	https://nl.wikipedia.org/wiki/SoLiDe_(België)	-	-
BE	parliamentaryGroup	SLP	SLP	Sociaal-Liberale Partij	-	-	Centrum tot centrum-links	https://en.wikipedia.org/wiki/Sociaal-Liberale_Partij	-	-
BE	parliamentaryGroup	SP	SP	Socialistische Partij	-	-	Centrum-link tot links	https://en.wikipedia.org/wiki/Socialist_Party_(Belgium)	103	SP
