affiliationRole	orgRole	BE	BG	CZ	DK	ES	FR	GB	GR	HR	HU	IS	IT	LT	LV	NL	PL	SI	TR
replacement	supervisoryBoard	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
secretary		-	1	-	-	-	-	-	-	-	-	-	-	-	-	18	-	-	-
secretary	politicalGroup	-	-	-	-	-	-	-	-	-	-	-	46	-	-	-	-	-	-
secretaryGeneral		-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
secretaryOfState	government	-	-	-	-	-	26	-	-	-	-	-	-	-	-	-	-	-	-
speaker		-	-	-	-	-	-	9	-	-	-	-	-	-	-	-	-	-	-
speaker	parliament	-	-	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
substituteMP	delegation	-	-	-	-	-	-	-	-	-	-	-	-	16	-	-	-	-	-
substituteMP	parliament	-	-	-	-	-	-	-	-	-	-	142	-	-	-	-	-	-	-
verifier	commission	-	-	43	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
verifier	committee	-	-	221	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
verifier	parliament	-	-	57	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
verifier	subcommittee	-	-	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
viceChairman		-	15	-	33	-	-	-	-	-	-	-	-	7	-	-	-	-	-
viceChairman	boardOfParliament	-	-	-	-	-	-	-	-	-	-	-	-	5	-	-	-	-	-
viceChairman	commission	-	-	39	-	-	13	-	-	-	-	-	-	45	-	-	-	-	-
viceChairman	committee	-	-	399	-	-	-	-	-	-	-	-	-	61	-	-	-	-	-
viceChairman	delegation	-	-	-	-	-	-	-	-	-	-	-	-	23	-	-	-	-	-
viceChairman	government	-	-	14	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
viceChairman	internationalOrganizations	-	-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
viceChairman	interparliamentaryFriendshipGroup	-	-	6	-	-	-	-	-	-	-	-	-	176	-	-	-	-	-
viceChairman	parliament	-	3	-	-	-	27	-	33	-	-	-	-	-	-	-	-	-	-
viceChairman	politicalGroup	-	-	149	-	-	-	-	-	-	-	-	-	59	-	-	-	-	-
viceChairman	subcommittee	-	-	181	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
viceChairman	workingGroup	-	-	-	-	-	-	-	-	-	-	-	-	91	-	-	-	-	-
viceDirector		-	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
vicePresident		-	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
vicePresident	parliament	-	-	27	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
vicePresident	politicalGroup	-	-	-	-	-	-	-	-	-	-	-	134	-	-	-	-	-	-
