Country	PersonID	Role	From	To	Gov.	Ministry	Name-xx	Name-en	Comment
CZ	RichardBrabec.1966	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government	government.VladaCR.1338	-	-	-
CZ	RichardBrabec.1966	minister	2014-01-29T14:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	RobertPelikan.1979	minister	2017-12-13T14:00:00	2018-06-27T00:00:00	government	government.VladaCR.1338	-	-	-
CZ	RobertPelikan.1979	minister	2015-03-12T12:00:00	2017-12-13T00:00:00	government	government.VladaCR.1164	-	-	-
CZ	TatanaMala.1981	minister	2018-06-27T09:00:00	2018-07-10T17:00:00	government	government.VladaCR.1494	-	-	-
CZ	TomasJanPodivinsky.1969	minister	2013-07-10T11:00:00	2014-01-29T14:00:00	government	government.VladaCR.1103	-	-	-
CZ	VeraJourova.1964	minister	2014-01-29T14:00:00	2014-10-03T12:00:00	government	government.VladaCR.1164	-	-	-
CZ	VitRakusan.1978	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	VitezslavJandak.1947	minister	2005-08-17T13:00:00	2006-08-16T16:00:00	government	government.VladaCR.740	-	-	-
CZ	VlastimilValek.1960	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	ZbynekStanjura.1964	minister	2021-12-17T11:00:00	-	government	government.VladaCR.1628	-	-	-
CZ	ZbynekStanjura.1964	minister	2012-12-12T15:00:00	2013-07-10T11:00:00	government	government.VladaCR.951	-	-	-
CZ	ZdenekNekula.1970	minister	2022-01-03T12:00:00	-	government	government.VladaCR.1628	-	-	-
